"Name","Company","State","City","Salary","Location","Url"
"Sr. QA/Automated Tester- Denmark"," Roku  ","Denmark","Aarhus","","Aarhus","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=294934&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_357eff1e&cb=1535036714950&jobListingId=2648627833"
"Senior Product Manager (Copenhagen or London)"," Sitecore  ","Denmark","Copenhagen","","Copenhagen","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=311703&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7487488f&cb=1535036714951&jobListingId=2850875358"
"Software Engineer - Denmark"," Roku  ","Denmark","Aarhus","","Aarhus","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=294943&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_2f6d4f0e&cb=1535036714952&jobListingId=2669548707"
"Back-end Developer"," Siteimprove  Hot","Denmark","Copenhagen","","Copenhagen","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=297457&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a3359f43&cb=1535036714953&jobListingId=2678433025"
"Senior Software Engineer"," Motorola Solutions  We're Hiring","Denmark","Glostrup","","Glostrup","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=318973&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d5e6c700&cb=1535036714954&jobListingId=2826429880"
"Front-end Developer"," Siteimprove  Hot","Denmark","Copenhagen","","Copenhagen","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=297457&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9dda4d40&cb=1535036714955&jobListingId=2678433808"
"Software Developer"," SITA  We're Hiring","Denmark","Copenhagen","","Copenhagen","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=291562&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fc0abb1c&cb=1535036714956&jobListingId=2852032046"
"Software Engineer"," Google  ","Denmark","Aarhus","","Aarhus","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=191997&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d8654ded&cb=1535036714956&jobListingId=2759337682"
"Software Developer"," CDK Global  ","Denmark","Vejle","","Vejle","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=49420&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_750a7a93&cb=1535036714957&jobListingId=2884716443"
"Sr. Software Engineer - Denmark"," Roku  ","Denmark","Aarhus","","Aarhus","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=294943&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_32795343&cb=1535036714959&jobListingId=2611556250"
"Partner Marketing Manager"," Siteimprove  New","Denmark","Copenhagen","","Copenhagen","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=297457&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a1d7e6ee&cb=1535036714959&jobListingId=2905139804"
"Software Engineer"," Microsoft  ","Denmark","Copenhagen","","Copenhagen","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=37049&s=58&guid=0000016567516ee7b36fd41aea3ab548&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a60f1343&cb=1535036714960&jobListingId=2844876071"
