"Name","Company","State","City","Salary","Location","Url"
"Account Executive"," Questback  ","Sweden","Sweden","","Sweden","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=284182&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_6d15d617&cb=1535036568923&jobListingId=2608178788"
"Senior Game Developer"," Snowprint Studios AB  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=395129&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_c325faf7&cb=1535036568924&jobListingId=2908335053"
"Software Engineer - Backend"," Spotify  We're Hiring","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=347865&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_be32ec81&cb=1535036568925&jobListingId=2845400385"
"Customer Solutions Consultant"," Aptean  New","Sweden","Hässleholm","","Hässleholm","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=361809&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f0775b06&cb=1535036568926&jobListingId=2827044272"
"Junior Full-Stack Web Developer [Uplay]"," Ubisoft  We're Hiring","Sweden","Malmö","","Malmö","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=327039&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7286a55a&cb=1535036568972&jobListingId=2860035133"
"Software Developer"," FLIR  We're Hiring","Sweden","Täby","","Täby","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=225834&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1c3136cb&cb=1535036568974&jobListingId=2782768509"
"Software Engineer"," FLIR  We're Hiring","Sweden","Täby","","Täby","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=225834&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_a5263c64&cb=1535036568975&jobListingId=2808033271"
"Manager, Software Engineering"," BOEING  We're Hiring","Sweden","Gothenburg","","Gothenburg","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=294074&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f990bd3b&cb=1535036568976&jobListingId=2796106622"
"Sales Manager Nordic"," Synavos  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=364687&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_1678f160&cb=1535036568977&jobListingId=2828168658"
"Software Development Engineer in Test (SDET)"," Spotify  ","Sweden","Stockholm","","Stockholm","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=347865&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d5ce8f52&cb=1535036568978&jobListingId=2749174177"
"Software Engineer"," Volvo Group  New","Sweden","Gothenburg","","Gothenburg","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=124245&s=58&guid=00000165674f3478ae30eb9a89a4601a&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_9eba6e18&cb=1535036568980&jobListingId=2757449370"
