"Name","Company","State","City","Salary","Location","Url"
"Technical Designer"," Unispace  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=329566&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_6a0c4236&cb=1535036508166&jobListingId=2582312204"
"Software Engineer"," Cisco Systems  We're Hiring","Switzerland","Ecublens","","Ecublens","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=354908&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_398afbf5&cb=1535036508168&jobListingId=2640583383"
"Software Development Engineer I"," Expedia  We're Hiring","Switzerland","Geneva","","Geneva","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=303301&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_eeadd9b4&cb=1535036508169&jobListingId=2854918522"
"Technician, Product Development"," Power Integrations  ","Switzerland","Biel","","Biel","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=285425&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_63e60b74&cb=1535036508169&jobListingId=2846236729"
"Data Scientist II - Machine Learning"," Expedia  We're Hiring","Switzerland","Geneva","","Geneva","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=303301&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_7c1e9a28&cb=1535036508170&jobListingId=2854918586"
"System Software Engineer"," NVIDIA  We're Hiring","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=284597&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d8a61b1a&cb=1535036508171&jobListingId=2599397432"
"Software Engineer"," XY Group  ","Switzerland","Chiasso","","Chiasso","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=138360&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_fa6e2942&cb=1535036508172&jobListingId=2873770448"
"Software Developer"," Source Technology  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=70759&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_156e6bb4&cb=1535036508173&jobListingId=2902593096"
"Software Engineer"," Swisslinx  New","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=138360&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_d6805163&cb=1535036508174&jobListingId=2907286589"
"Application Architect / Software Developer"," Amazon  We're Hiring","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=295207&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f0905754&cb=1535036508175&jobListingId=2883000763"
"EVP of Software Engineering and Operations ($800K/yr) - Exclusive Hiring Event"," Crossover for Work  New","Switzerland","Geneva","","Geneva","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=370675&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b23132bf&cb=1535036508175&jobListingId=2828785499"
"Software Engineer"," Google  New","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=191997&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1a592f29&cb=1535036508176&jobListingId=2723096093"
"Scientific Software Developer - Lab Instruments Integration"," Roche  We're Hiring","Switzerland","Basel","","Basel","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=301852&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_676096d3&cb=1535036508177&jobListingId=2673528414"
"Software Engineer"," Appway  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=319052&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_af7daf4c&cb=1535036508178&jobListingId=2864645126"
"Software Engineer, Automation"," Facebook  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=282723&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c71c346f&cb=1535036508179&jobListingId=2670144229"
"Software Developer 2"," Oracle  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=354498&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_98faafcf&cb=1535036508180&jobListingId=2866799595"
"Software Developer 3"," Oracle  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=354498&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_f1c36fd5&cb=1535036508181&jobListingId=2792494959"
"Technology Senior C++/Java Software Engineer"," UBS  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=336265&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ff387696&cb=1535036508182&jobListingId=2858219148"
"Senior Vice President of Software Engineering & Operations ($400K/yr) - Exclusive Hiring Event"," Crossover for Work  ","Switzerland","Basel","","Basel","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=370657&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_39763358&cb=1535036508183&jobListingId=2828785779"
"IT Software Engineer"," UBS  ","Switzerland","Zürich","","Zürich","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=336265&s=58&guid=00000165674e47859ee5ae1c17c7dbe7&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_ffbee4a3&cb=1535036508184&jobListingId=2813774900"
